-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         1.17%      38.000us         1.17%      38.000us       4.750us       0.000us         0.00%       0.000us       0.000us           4 b           4 b      24.07 Mb      24.07 Mb             8  
                                           aten::conv2d         0.37%      12.000us        43.35%       1.404ms     280.800us       0.000us         0.00%       1.221ms     244.200us           0 b           0 b       1.85 Mb           0 b             5  
                                      aten::convolution         1.11%      36.000us        42.98%       1.392ms     278.400us       0.000us         0.00%       1.221ms     244.200us           0 b           0 b       1.85 Mb           0 b             5  
                                     aten::_convolution         1.33%      43.000us        41.86%       1.356ms     271.200us       0.000us         0.00%       1.221ms     244.200us           0 b           0 b       1.85 Mb           0 b             5  
                                aten::cudnn_convolution        24.61%     797.000us        37.14%       1.203ms     240.600us       1.184ms        53.07%       1.184ms     236.800us           0 b           0 b       1.85 Mb     -22.22 Mb             5  
                                       aten::max_pool2d         0.15%       5.000us         2.47%      80.000us      26.667us       0.000us         0.00%      30.000us      10.000us           0 b           0 b       1.01 Mb           0 b             3  
                          aten::max_pool2d_with_indices         1.70%      55.000us         2.32%      75.000us      25.000us      30.000us         1.34%      30.000us      10.000us           0 b           0 b       1.01 Mb       1.01 Mb             3  
                              aten::adaptive_avg_pool2d         0.06%       2.000us         0.90%      29.000us      29.000us       0.000us         0.00%      15.000us      15.000us           0 b           0 b      36.00 Kb           0 b             1  
                             aten::_adaptive_avg_pool2d         0.37%      12.000us         0.83%      27.000us      27.000us      15.000us         0.67%      15.000us      15.000us           0 b           0 b      36.00 Kb           0 b             1  
                                          aten::resize_         0.12%       4.000us         0.12%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      36.00 Kb      36.00 Kb             1  
