-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         7.01%       1.173ms         7.01%       1.173ms       4.393us       0.000us         0.00%       0.000us       0.000us         268 b         268 b     207.62 Mb     207.62 Mb           267  
                                        model_inference        19.22%       3.217ms        97.47%      16.313ms      16.313ms       0.000us         0.00%       9.627ms       9.627ms          -4 b        -268 b      83.61 Mb      -5.75 Mb             1  
                                           aten::conv2d         0.85%     143.000us        47.09%       7.881ms     148.698us       0.000us         0.00%       8.319ms     156.962us           0 b           0 b      43.99 Mb           0 b            53  
                                      aten::convolution         2.29%     384.000us        46.23%       7.738ms     146.000us       0.000us         0.00%       8.319ms     156.962us           0 b           0 b      43.99 Mb           0 b            53  
                                     aten::_convolution         1.45%     242.000us        43.94%       7.354ms     138.755us       0.000us         0.00%       8.319ms     156.962us           0 b           0 b      43.99 Mb           0 b            53  
                                aten::cudnn_convolution        28.95%       4.846ms        42.49%       7.112ms     134.189us       8.319ms        86.41%       8.319ms     156.962us           0 b           0 b      43.99 Mb    -120.67 Mb            53  
                                       aten::batch_norm         0.64%     107.000us        19.87%       3.325ms      62.736us       0.000us         0.00%     622.000us      11.736us           0 b           0 b      42.96 Mb           0 b            53  
                           aten::_batch_norm_impl_index         0.82%     137.000us        19.23%       3.218ms      60.717us       0.000us         0.00%     622.000us      11.736us           0 b           0 b      42.96 Mb           0 b            53  
                                 aten::cudnn_batch_norm         9.28%       1.554ms        18.41%       3.081ms      58.132us     622.000us         6.46%     622.000us      11.736us           0 b           0 b      42.96 Mb           0 b            53  
                                       aten::empty_like         0.88%     147.000us         3.08%     515.000us       9.717us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      42.96 Mb           0 b            53  
